Personenkraftwagen;47;66;193;137;29925;162;2089;257;88;29;66;1150;47;34256
Kraftomnibus, Obus;0;1;0;1;394;1;31;2;2;0;0;3;1;436
Liefer- und Lastkraftw.;1;3;5;12;2123;9;205;23;7;1;8;60;2;2459
Sattelschlepper;0;1;0;1;296;1;26;8;1;1;0;6;0;341
Landwirt. Zugmaschine;0;0;0;0;73;0;8;1;1;0;0;0;0;83
andere Zugmaschine;0;0;0;0;29;1;1;1;0;0;0;0;0;32
LKW mit Spezialaufbau;0;0;0;1;84;0;7;2;1;1;0;3;0;99
anderes Fahrzeug;0;2;1;1;608;1;33;9;1;1;1;10;0;668
sonstige Person;0;0;1;0;19;0;1;0;0;0;0;0;0;21
Unfälle zwischen zwei Beteiligten insg.;50;78;207;162;34132;181;2483;313;101;34;75;1275;51;39142
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Mofa, Moped;0;0;0;2;28;1;3;0;2;0;0;1;0;37
Motorrad;0;1;0;5;127;1;10;4;5;0;1;12;0;166
Personenkraftwagen;13;9;41;104;11657;64;1459;585;115;40;45;797;19;14948
Kraftomnibus, Obus;0;0;0;2;106;0;14;1;1;1;0;1;0;126
Liefer- und Lastkraftw.;2;0;2;9;1463;7;248;97;18;1;5;80;1;1933
Sattelschlepper;0;0;0;0;869;1;154;105;3;1;4;30;2;1169
Landwirt. Zugmaschine;0;0;0;2;111;0;13;5;2;1;1;1;0;136
andere Zugmaschine;0;0;0;2;42;0;3;1;0;1;0;2;0;51
LKW mit Spezialaufbau;0;0;0;1;54;0;13;10;1;2;1;4;0;86
anderes Fahrzeug;0;0;0;1;129;2;19;8;2;0;3;7;0;171
sonstige Person;0;0;0;0;10;0;0;0;1;0;0;0;0;11
Unfälle zwischen zwei Beteiligten insg.;15;10;43;128;14597;76;1936;816;150;47;60;935;22;18835
